object_type,schema,object_name,path,lines,module
index,public,idx_user_ranks_is_current,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/248-idx_user_ranks_is_current.sql,14,PUB
index,public,idx_user_ranks_user_id,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/249-idx_user_ranks_user_id.sql,14,PUB
index,public,idx_user_roles_role,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/250-idx_user_roles_role.sql,14,PUB
index,public,idx_user_roles_tenant_id,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/251-idx_user_roles_tenant_id.sql,14,PUB
index,public,idx_user_roles_user_id,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/252-idx_user_roles_user_id.sql,14,PUB
index,public,idx_user_sessions_active,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/253-idx_user_sessions_active.sql,14,PUB
index,public,idx_user_sessions_expires,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/254-idx_user_sessions_expires.sql,14,PUB
index,public,idx_user_sessions_refresh_token_hash,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/255-idx_user_sessions_refresh_token_hash.sql,16,PUB
index,public,idx_user_sessions_session_token_hash,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/256-idx_user_sessions_session_token_hash.sql,16,PUB
index,public,idx_user_sessions_token,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/257-idx_user_sessions_token.sql,14,PUB
index,public,idx_user_sessions_user_id,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/258-idx_user_sessions_user_id.sql,14,PUB
