Schema,Tabla,Frecuencia,Num Documentos
userStatsRepo,query,1,1
userStatsRepo,findOne,1,1
current_xp,toLocaleString,1,1
this,getCurrentRank,1,1
rankService,getRankProgress,1,1
this,getXPMultiplier,1,1
RANK_ORDER,indexOf,1,1
this,getRankBenefits,1,1
rankService,getCurrentRank,1,1
gamification_system,check_rank_promotion,1,1
gamification_system,get_rank_multiplier,1,1
notifications,find,1,1
ComodinService,purchaseComodin,1,1
ComodinService,useComodin,1,1
comodinInventoryRepo,findOne,1,1
this,generateHint,1,1
comodinService,getInventory,1,1
gamification_system,purchase_comodin,1,1
comodinService,getUserStats,1,1
gamification_system,use_comodin,1,1
gamification_system,get_comodin_inventory,1,1
inventory,map,1,1
this,generateReadingVision,1,1
result,map,1,1
comodinInventoryRepo,query,1,1
rankOrder,indexOf,1,1
user_stats,current_rank,1,1
not,toBe,1,1
contentService,findOne,1,1
streakService,updateStreaks,1,1
module_progress,status,1,1
comodin_usage_tracking,vision_lectora_used,1,1
exerciseService,findOne,1,1
this,getUsageInExercise,1,1
this,applyEffect,1,1
this,decrementInventory,1,1
this,getInventory,1,1
db,transaction,1,1
comodin_usage_tracking,pistas_used,1,1
this,logUsage,1,1
moduleProgressRepository,find,1,1
messages,map,1,1
this,getMessage,1,1
narrativeService,getMessage,1,1
messages,sort,1,1
messages,push,1,1
narrativeMessagesRepository,findOne,1,1
moduleCompletionRepository,find,1,1
moduleCompletionRepository,save,1,1
ModuleCompletionModal,tsx,1,1
badgesService,awardBadge,1,1
badgesService,checkAndAwardBadges,1,1
completedModules,map,1,1
moduleCompletionRepository,findOne,1,1
completions,map,1,1
coinTransactionsRepository,save,1,1
coins,toLocaleString,1,1
this,awardCoins,1,1
streakService,getCurrentStreak,1,1
allBadges,map,1,1
userBadges,find,1,1
badges,map,1,1
userBadgesRepository,find,1,1
userBadges,map,1,1
this,awardBadge,1,1
badgesRepository,findOne,1,1
this,meetsCriteria,1,1
moduleProgressRepository,count,1,1
userBadgesRepository,save,1,1
newlyEarnedBadges,push,1,1
earnedBadgeIds,includes,1,1
badgesRepository,find,1,1
this,getHint,1,1
helps,map,1,1
removedOptions,includes,1,1
helpUsageRepository,findOne,1,1
helps,find,1,1
this,getOptionsToRemove,1,1
helpUsageRepository,save,1,1
coinsService,spendCoins,1,1
window,confirm,1,1
incorrectOptions,map,1,1
activitiesService,useHelp,1,1
xp,toLocaleString,1,1
topUsers,map,1,1
this,getUserPosition,1,1
topUsers,find,1,1
usersRepository,find,1,1
this,getGlobalLeaderboard,1,1
leaderboardService,getLeaderboard,1,1
this,calculateRank,1,1
usersRepository,save,1,1
RANK_THRESHOLDS,find,1,1
this,calculateLevel,1,1
totalXP,toLocaleString,1,1
RANK_THRESHOLDS,reverse,1,1
rankHistoryRepository,save,1,1
xpTransactionsRepository,find,1,1
rankService,updateUserRank,1,1
xpTransactionsRepository,save,1,1
queryClient,invalidateQueries,1,1
progressRepo,findOne,1,1
progress_tracking,placement_test_results,1,1
progress_tracking,user_current_level,1,1
apiClient,post,1,1
educational_content,placement_tests,1,1
testRepo,findOne,1,1
service,checkPromotionEligibility,1,1
service,promoteUser,1,1
progressService,getUserProgressByLevel,1,1
progressService,getUserProgress,1,1
educational_content,difficulty_criteria,1,1
promoteMutation,mutate,1,1
progress_tracking,difficulty_level_stats,1,1
progress_tracking,user_difficulty_progress,1,1
progressService,getLevelStatistics,1,1
progressService,promoteUser,1,1
resultRepo,save,1,1
find,mockResolvedValue,1,1
progressRepo,find,1,1
progress_tracking,update_difficulty_progress,1,1
this,checkPromotionEligibility,1,1
progress_tracking,check_difficulty_promotion_eligibility,1,1
progress_tracking,promote_user_difficulty_level,1,1
Object,entries,1,1
answers,filter,1,1
resultRepo,findOne,1,1
progress,map,1,1
