obj_id,layer,module,type,name,path
OBJ-DB-GAM-TRG-USER-STATS,DB,GAM,trigger,user_stats,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/tables/01-user_stats.sql
OBJ-DB-GAM-TRG-USER-RANKS,DB,GAM,trigger,user_ranks,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/tables/02-user_ranks.sql
OBJ-DB-GAM-TRG-ACHIEVEMENTS,DB,GAM,trigger,achievements,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/tables/03-achievements.sql
OBJ-DB-GAM-IDX-USER-ACHIEVEMENTS,DB,GAM,index,user_achievements,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/tables/04-user_achievements.sql
OBJ-DB-GAM-IDX-ML-COINS-TRANSACTIONS,DB,GAM,index,ml_coins_transactions,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/tables/05-ml_coins_transactions.sql
OBJ-DB-GAM-TRG-MISSIONS,DB,GAM,trigger,missions,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/tables/06-missions.sql
OBJ-DB-GAM-TRG-COMODINES-INVENTORY,DB,GAM,trigger,comodines_inventory,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/tables/07-comodines_inventory.sql
OBJ-DB-GAM-TRG-NOTIFICATIONS,DB,GAM,trigger,notifications,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/tables/08-notifications.sql
OBJ-DB-GAM-TBL-LEADERBOARD-METADATA,DB,GAM,table,leaderboard_metadata,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/tables/09-leaderboard_metadata.sql
OBJ-DB-GAM-TRG-ACHIEVEMENT-CATEGORIES,DB,GAM,trigger,achievement_categories,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/tables/10-achievement_categories.sql
